Continent,Country/Region,Lat,Long,1/27/2020,2/3/2020,2/10/2020,2/17/2020,2/24/2020,3/2/2020,3/9/2020,3/16/2020,3/23/2020,3/30/2020,4/6/2020,4/13/2020,4/20/2020,4/27/2020,5/4/2020,5/11/2020,5/18/2020,5/25/2020,6/1/2020,6/8/2020,6/15/2020,6/22/2020,6/29/2020,7/6/2020,7/13/2020,7/20/2020,7/27/2020,8/3/2020,8/10/2020,8/17/2020,8/24/2020,8/31/2020,9/7/2020,9/14/2020
Africa,Algeria,28.0339,1.6596,0,0,0,0,0,3,20,54,230,584,1423,1983,2718,3517,4648,5891,7201,8503,9513,10265,11031,11920,13571,16404,19689,23691,27973,31972,35712,39025,41858,44494,46653,48496
Africa,Angola,-11.2027,17.8739,0,0,0,0,0,0,0,0,3,7,16,19,24,27,35,45,50,70,86,92,142,186,276,346,525,749,950,1280,1679,1935,2222,2654,2981,3439
Africa,Benin,9.3077,2.3158,0,0,0,0,0,0,0,1,5,6,26,35,54,64,96,319,339,191,243,288,483,807,1187,1199,1378,1602,1770,1805,1936,2063,2115,2145,2213,2267
Africa,Botswana,-22.3285,24.6849,0,0,0,0,0,0,0,0,0,3,6,13,20,22,23,24,25,35,38,42,60,89,175,314,399,522,739,804,1066,1308,1562,1633,2126,2463
Africa,Burkina Faso,12.2383,-1.5616,0,0,0,0,0,0,0,15,99,246,364,497,581,635,672,760,796,832,847,890,894,903,959,1000,1036,1065,1100,1150,1204,1280,1338,1368,1463,1717
Africa,Burundi,-3.3731,29.9189,0,0,0,0,0,0,0,0,0,0,3,5,5,11,15,15,42,42,63,83,85,144,170,191,269,322,378,395,408,413,430,445,466,472
Africa,Cabo Verde,16.5388,-23.0418,0,0,0,0,0,0,0,0,3,6,7,10,67,109,175,260,328,390,458,567,760,944,1165,1463,1698,2071,2328,2583,2883,3203,3532,3884,4358,4839
Africa,Cameroon,3.848,11.5021,0,0,0,0,0,0,2,4,56,139,658,820,1163,1705,2104,2689,3529,4890,6397,8060,9864,12041,12592,12592,15173,16157,17110,17255,18042,18582,18762,19142,19604,20228
Africa,Central African Republic,6.6111,20.9394,0,0,0,0,0,0,0,1,3,3,8,11,12,19,85,143,327,652,1069,1850,2222,2963,3613,4033,4321,4548,4599,4614,4641,4667,4679,4711,4729,4772
Africa,Chad,15.4542,18.7322,0,0,0,0,0,0,0,0,1,5,9,23,33,46,117,322,519,687,790,839,850,858,866,872,880,889,922,936,945,959,987,1013,1040,1085
Africa,Comoros,-11.6455,43.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,87,106,141,176,247,272,311,317,334,354,386,399,405,417,423,452,457
Africa,Congo (Brazzaville),-0.228,15.8277,0,0,0,0,0,0,0,1,4,19,45,60,160,200,236,333,412,487,611,683,883,1087,1087,1557,2028,2851,3200,3546,3664,3831,3979,3979,4891,4934
Africa,Congo (Kinshasa),-4.0383,21.7587,0,0,0,0,0,0,0,2,36,81,161,235,332,459,682,1024,1538,2297,3195,4106,4837,5924,6939,7432,8075,8443,8844,9133,9489,9706,9842,10097,10233,10390
Africa,Cote d'Ivoire,7.54,-5.5471,0,0,0,0,0,0,0,1,25,168,323,626,847,1164,1432,1730,2119,2423,2951,3881,5439,7677,9214,10966,12872,14312,15655,16220,16798,17107,17506,18067,18701,19066
Africa,Djibouti,11.8251,42.5903,0,0,0,0,0,0,0,0,3,18,90,298,846,1035,1116,1227,1518,2468,3569,4278,4501,4599,4656,4822,4977,5020,5059,5240,5347,5372,5383,5387,5388,5396
Africa,Egypt,26.820553,30.802498,0,0,0,1,1,2,55,150,366,656,1322,2190,3333,4782,6813,9746,12764,17967,26384,35444,46289,56809,66754,76222,83001,88402,92482,94640,95666,96590,97478,98939,100041,101177
Africa,Equatorial Guinea,1.6508,10.2679,0,0,0,0,0,0,0,1,9,12,16,21,79,258,315,439,719,1043,1306,1306,1306,1664,2001,3071,3071,3071,3071,4821,4821,4821,4926,4941,4985,5000
Africa,Eritrea,15.1794,39.7823,0,0,0,0,0,0,0,0,1,12,31,34,39,39,39,39,39,39,39,39,109,143,191,215,232,251,265,282,285,285,306,319,330,361
Africa,Eswatini,-26.5225,31.4659,0,0,0,0,0,0,0,1,4,9,10,15,24,65,116,175,205,256,293,340,506,643,795,1011,1389,1826,2316,2838,3309,3894,4304,4577,4884,5104
Africa,Ethiopia,9.145,40.4897,0,0,0,0,0,0,0,5,11,23,44,74,111,124,140,250,352,655,1257,2156,3521,4663,5846,5846,7766,10207,14547,19289,23591,31336,42143,52131,59648,64786
Africa,Gabon,-0.8037,11.6094,0,0,0,0,0,0,0,1,5,7,24,57,120,211,367,802,1432,2135,2655,3101,4033,4739,5394,5743,6026,6433,7189,7646,8006,8270,8409,8533,8608,8654
Africa,Gambia,13.4432,-15.3101,0,0,0,0,0,0,0,0,2,4,4,9,10,10,17,22,24,25,25,28,30,41,47,61,64,112,326,498,1235,1872,2585,2963,3197,3405
Africa,Ghana,7.9465,-1.0232,0,0,0,0,0,0,0,6,27,152,214,566,1042,1550,2719,4700,5735,6808,8070,9910,11964,14154,17351,21077,24988,28430,33624,37812,41212,42653,43622,44298,44869,45601
Africa,Guinea,9.9456,-9.6966,0,0,0,0,0,0,0,1,4,22,128,319,622,1163,1710,2146,2796,3275,3844,4216,4572,4988,5351,5610,6141,6590,7055,7364,7930,8620,9076,9409,9816,10061
Africa,Guinea-Bissau,11.8037,-15.1804,0,0,0,0,0,0,0,0,0,8,18,38,50,73,413,761,1032,1178,1339,1389,1492,1556,1654,1790,1842,1949,1954,1981,2052,2117,2149,2205,2245,2275
Africa,Kenya,-0.0236,37.9062,0,0,0,0,0,0,0,3,16,50,158,208,281,363,490,700,912,1286,2021,2872,3727,4797,6190,8067,10294,13771,17975,22597,26928,30365,32557,34201,35205,36205
Africa,Lesotho,-29.61,28.2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,12,27,91,245,359,505,718,781,946,1015,1085,1148,1245
Africa,Liberia,6.428055,-9.429499,0,0,0,0,0,0,0,1,3,3,14,59,99,124,166,211,229,265,296,370,498,650,770,891,1024,1107,1167,1214,1240,1277,1290,1304,1311,1321
Africa,Libya,26.3351,17.228331,0,0,0,0,0,0,0,0,0,8,19,26,51,61,63,64,65,75,168,332,467,595,802,1117,1512,1980,2827,4063,5929,8579,11009,13966,18834,23515
Africa,Madagascar,-18.766947,46.869107,0,0,0,0,0,0,0,0,12,43,82,106,121,128,149,186,322,542,826,1094,1290,1640,2138,3250,5080,7153,9690,11660,13202,13886,14402,14863,15352,15769
Africa,Malawi,-13.2543,34.3015,0,0,0,0,0,0,0,0,0,0,5,16,17,36,41,57,70,101,336,443,555,749,1152,1742,2430,2992,3664,4272,4674,5125,5419,5566,5621,5697
Africa,Mali,17.570692,-3.996166,0,0,0,0,0,0,0,0,0,25,47,123,246,408,580,712,874,1059,1315,1547,1860,1961,2173,2331,2412,2475,2513,2543,2573,2640,2708,2776,2870,2935
Africa,Mauritania,21.0079,-10.9408,0,0,0,0,0,0,0,1,2,5,6,7,7,7,8,8,81,262,588,1104,1887,3121,4237,4948,5446,5923,6208,6382,6555,6762,6928,7048,7165,7295
Africa,Mauritius,-20.348404,57.552152,0,0,0,0,0,0,0,0,36,128,244,324,328,334,332,332,332,334,335,337,337,340,341,342,342,343,344,344,344,346,347,356,356,361
Africa,Morocco,31.7917,-7.0926,0,0,0,0,0,1,2,29,143,556,1120,1763,3046,4120,5053,6281,6952,7532,7833,8302,8885,10172,12290,14379,15936,17562,20887,26196,34063,43558,53252,62590,73780,88203
Africa,Mozambique,-18.665695,35.529562,0,0,0,0,0,0,0,0,1,8,10,21,39,76,80,103,145,209,254,433,609,737,883,1012,1219,1507,1701,1973,2411,2914,3440,3916,4557,5482
Africa,Namibia,-22.9576,18.4904,0,0,0,0,0,0,0,2,4,11,16,16,16,16,16,16,16,21,25,31,32,63,196,485,861,1344,1843,2406,3101,4344,6030,7550,8810,9818
Africa,Niger,17.607789,8.081666,0,0,0,0,0,0,0,0,3,27,253,529,648,701,755,832,909,951,958,973,980,1046,1075,1093,1099,1105,1132,1152,1158,1167,1172,1176,1177,1180
Africa,Nigeria,9.082,8.6753,0,0,0,0,0,1,2,2,40,131,238,343,665,1337,2802,4641,6175,8068,10578,12801,16658,20919,25133,29286,33153,37225,41180,44129,46867,49485,52548,54008,55160,56388
Africa,Rwanda,-1.9403,29.8739,0,0,0,0,0,0,0,5,36,70,105,127,147,207,261,285,297,336,377,451,612,787,1001,1113,1378,1629,1879,2092,2152,2540,3306,4063,4409,4602
Africa,Sao Tome and Principe,0.1864,6.6131,0,0,0,0,0,0,0,0,0,0,4,4,4,4,23,208,246,299,484,513,662,702,713,721,732,746,865,874,878,885,892,896,898,906
